ID	NAME
522278928388	آمد مدينة من كور الجزيرة من أعمال الموصل والجزيرة ما بين دجلة والموصل، وآمد بمقربة منـ
163082928135	آزمور مدينة في بلاد المغرب فيها صنف الأديب الكاتب أبو الحسن علي بن محمد بن علي بن زنوـ
770409758737	آمل بضم الميم بعد المد وآخره لام، مدينة من مدن خراسان بينها وبين مرو على شط نهر جيحونـ
675878535186	أمسيول هو جبل بجاية، ويأتي ذكره عند ذكر بجاية إن شاء الله تعالى.
897287454742	أبة في البلاد الإفريقية وهي على اثني عشر ميلا من مدينة الأربس في غربيها، وكان بها من 
767268225047	أبذة مدينة بالأندلس بينها وبين بياسة سبعة أميال، وهي مدينة صغيرة وعلى مقربة منـ
744224718872	أبال حصن بالأندلس في شمال قرطبة وعلى مرحلة منها، وهو الحصن الذي فيه معدن الزئبق، وفيهـ
725975302171	أبواطا جزيرة في إقليم برذيل وهي بازاء موضع نهر برذيل وأبواطا يأوي إليها المجوس بمراكبـ
846305689629	الأبواء قرية جامعة بين مكة والمدينة شرفهما الله تعالى وسطا من المسافة، ومعنى | الأبواـ
263582646310	أبان بفتح أوله، جبل، وهما أبانان الأبيض والأسود، فالأبيض لبني فزارة والأسـ
282498957351	أبرق العزاف واد بالحجاز يقال إنه لا يتوارى جنه، قال خريم بن فاتك الأسدي صاحب رسول اللـ
163678519339	الأبطح بمكة شرفها الله تعالى، وقريش فريقان: قريش البطاح وقريش الظواهر، فقريش البطاح هـ
503555555372	أبهر بلد ما بين قزوين وزنجان، من قزوين إليها اثنا عشر فرسخا ومنها إلى زنجان خمسة عشر 
576762937392	أبيوود من مدن خراسان، فيها ولد الفضيل بن عياض الزاهد بمكة سنة سبع وثمانين ومائة، قال 
947749126193	الأبلة بضم الهمزة والباء واللام المشددة، مدينة بالعراق بينها وبين البصرة أربعة فراسخ 
887959322676	أبطير حصن بالأندلس بمقربة من بطليوس من بناء محمد بن أبي عامر، من جليل الصخر داخله عينـ
221757046838	أبركاوان جزيرة في البحر بينها وبين سيراف مائة وخمسون فرسخا وفيها قلاع شتى وفيها أجوانـ
836419715127	ابرشهر هي مدينة نيسابور، وقصدها غازيا الأحنف بن قيس من قبل ابن عامر فلقيه الهياطلة فقـ
900328325177	أبيض المدائن ويقال له القصر الأبيض، وهو الذي لا يدرى من بناه وهو من المدينة العتيقة مـ
458261266492	أبيار بفتح أوله، قرية من كور البلاد المصرية منها أبو الحسن علي بن إسماعيل الصنـ
291361521726	الأبلق الفرد هو حصن السموأل بن عاديا، قالوا: إذا خرجت من المدينة وأنت تريد تيماء فتنزـ
934675480639	أباغ عين أباغ في طرف أرض العراق مما يلي الشام فيها أوقع الحارث الغساني وهو يدين لقيصرـ
483611639872	أبين باليمن، قيل فيه بكسر الألف وفتحها، وهو اسم رجل في الزمن القديم إليه تنسب عدن أبيـ
741909463105	الأثيل واد في حيز بدر طوله ثلاثة أميال، بينه وبين بدر ميلان حيث كانت الوقعة المباركة 
829071294532	اثل هي مدينة الخزر وقصبتها باب الأبواب ومنها إلى سمندر أربعة أيام في عمارة، ومن سمندرـ
195387457604	أجا يهمز ولا يهمز، أحد جبلي طيء وهما أجأ وسلمى سميا برجل وامرأة فجرا فصلبا عليهما، أمـ
110377304135	أجدابية مدينة في حيز برقة وهي آخر ديار لواتة، وهي في صحصاح من حجر مستو، وكان لها فيماـ
408776867912	أجرسيف مدينة في أحواز تلمسان من أرض المغرب كبيرة لها بساتين كثيرة وهي على نهر ملوية وـ
149250113612	أجنادين بفتح الهمزة والنون والدال، بعدها ياء ونون على لفظ التثنية، موضع بالشام من بلاـ
865612070989	أجياد بفتح أوله وإسكان ثانيه وبالياء أخت الواو والدال المهملة كأنه جمع جيد، أحد جبال 
752713990227	الأجم قصر الأجم هو المعروف بقصر الكاهنة وبينه وبين المهدية من البلاد الإفريقية ثمانيةـ
299817238613	أحد جبل بظاهر مدينة النبي صلى الله عليه وسلم في شمالها على مقدار ستة أميال وهو أقرب اـ
269756661846	الأحساء مدينة على البحر الفارسي تقابل جزيرة أوال وهي بلاد القرامطة، والأحساء مدينة صغـ
787186974807	الأحاسي جزيرة الأحاسي على نحو عشرة أميال من المهدية بإفريقية ذات أحساء بينها وبين البـ
786201313368	الأحقاف هي منازل عاد قيل كانت بالشام، وقيل هي بلاد رمل بين مهرة وعدن، وقيل في بلاد الـ
562376474713	اخميم مدينة في البلاد المصرية في الجانب الشرقي من النيل لها ساحل، وهي مدينة كبيرة قديـ
301767589978	الأخدود المذكور في قوله تعالى: " قتل أصحاب الأخدود " (البروج: ) ، كان في قرية من قرىـ
667678670939	أخسيكث هي مدينة فرغانة، كان أنوشروان بناها ونقل إليها من كل بيت قوما وسماها، وقيل إن 
367270035543	الأخشبان جبلا مكة ويقال إن جبل أبي قبيس أحد الأخشبين، وفي الحديث قال جبريل عليه الصلاـ
985619497050	الاخوان منزل بين القيروان والمهدية فيه قتل أبو يزيد النكاري ميسرة الفتى في ربيع الأولـ
953889587294	أذرعات من بلاد دمشق بالشام يصرف ولا يصرف، والتاء في الحالين مكسورة ويقال لها يذرعات بـ
818648449111	أذنة مدينة بالشام بينها وبين المصيصة اثنا عشر ميلا بناها هارون الرشيد وأتمها الأمين وـ
836415520865	أذربيجان هي كورة تلي الجبل من بلاد العراق وهي مفتوحة الألف وتلي كور أرمينية من جهة الـ
384798031972	أذاخر ثنية بين مكة والمدينة، وفي الخبر أن رسول الله صلى الله عليه وسلم دخل من أذاخر حـ
485775900774	أذرح بحاء مهملة على وزن أذرع، مدينة في أداني الشام وقيل بفلسطين، وبها بايع الحسن بن عـ
119042736232	الأردن بضم أوله، نهر بالشام وهو نهر طبرية عليه مدن، وكل من على جنبيه أردني، وكان ملك 
647491485802	أريس بئر أريس، بفتح الألف وكسر الراء، على ميلين من المدينة وكانت من أقل تلك الآبار ماـ
550787612781	أباض قرية من قرى اليمامة لبني حنيفة فيها كانت وقعة خالد بن الوليد رضي الله عنهـ
777217114222	إرم ذات العماد من الناس من قال: إرم قبيلة عاد وهو قول مجاهد وقتادة، وعليه أنشدوا لابنـ
